% IntCal13 raw data downloaded from http://intcal.qub.ac.uk/intcal13/ 
% Downloaded in 2016. As of 2020, the url redirects to IntCal20 data.						
%...Col 1	2	3	4	5	6	7
% setno	division	calage	calspan	calsig	c14age	c14sig
1	5	237	1	0	92	18
1	5	236	1	0	90	18
1	5	235	1	0	80	18
1	5	234	1	0	66	21
1	5	233	1	0	103	17
1	5	233	1	0	107	17
1	5	232	1	0	82	17
1	5	232	1	0	79	17
1	5	231	1	0	117	17
1	5	231	1	0	58	18
1	5	230	1	0	104	17
1	5	230	1	0	104	17
1	5	229	1	0	107	18
1	5	228	1	0	108	17
1	5	227	1	0	101	18
1	5	226	1	0	91	18
1	5	225	1	0	109	14
1	5	224	1	0	75	16
1	5	223	1	0	103	20
1	5	222	1	0	123	20
1	5	221	1	0	113	18
1	5	220	1	0	129	20
1	5	219	1	0	168	14
1	5	218	1	0	155	16
1	5	217	1	0	140	20
1	5	216	1	0	138	23
1	5	215	1	0	150	20
1	5	214	1	0	149	21
1	5	213	1	0	149	21
1	5	212	1	0	148	18
1	5	211	1	0	161	17
1	5	211	1	0	144	21
1	5	210	1	0	159	18
1	5	209	1	0	196	17
1	5	209	1	0	192	21
1	5	208	1	0	158	18
1	5	207	1	0	168	14
1	5	207	1	0	145	22
1	5	206	1	0	178	18
1	5	205	1	0	149	18
1	5	205	1	0	180	21
1	5	204	1	0	143	18
1	5	204	1	0	135	18
1	5	203	1	0	142	18
1	5	202	1	0	160	18
1	5	200	1	0	157	18
1	5	200	1	0	151	17
1	5	199	1	0	173	14
1	5	198	1	0	155	18
1	5	197	1	0	159	18
1	5	197	1	0	125	20
1	5	197	1	0	141	21
1	5	196	1	0	155	18
1	5	195	1	0	156	16
1	5	194	1	0	155	13
1	5	193	1	0	157	21
1	5	192	1	0	129	18
1	5	191	1	0	150	18
1	5	190	1	0	156	18
1	5	190	1	0	138	21
1	5	189	1	0	147	18
1	5	189	1	0	147	18
1	5	188	1	0	162	18
1	5	187	1	0	187	17
1	5	186	1	0	157	18
1	5	185	1	0	163	18
1	5	184	1	0	167	18
1	5	183	1	0	183	18
1	5	182	1	0	183	18
1	5	181	1	0	175	18
1	5	180	1	0	175	18
1	5	179	1	0	164	18
1	5	178	1	0	174	14
1	5	177	1	0	128	18
1	5	177	1	0	192	18
1	5	176	1	0	181	17
1	5	175	1	0	161	18
1	5	174	1	0	150	18
1	5	174	1	0	147	18
1	5	173	1	0	157	13
1	5	172	1	0	165	18
1	5	171	1	0	169	18
1	5	170	1	0	182	18
1	5	170	1	0	171	17
1	5	169	1	0	198	18
1	5	169	1	0	212	18
1	6	440	1	0	359	18
1	6	439	1	0	371	17
1	6	438	1	0	346	18
1	6	437	1	0	341	18
1	6	436	1	0	344	18
1	6	435	1	0	355	17
1	6	434	1	0	348	18
1	6	433	1	0	328	18
1	6	431	1	0	367	21
1	6	430	1	0	350	18
1	6	429	1	0	329	21
1	6	428	1	0	343	21
1	6	427	1	0	334	18
1	6	426	1	0	334	18
1	6	425	1	0	365	20
1	6	425	1	0	293	18
1	6	424	1	0	313	18
1	6	423	1	0	319	18
1	6	422	1	0	310	17
1	6	421	1	0	307	18
1	6	420	1	0	316	18
1	6	419	1	0	293	17
1	6	418	1	0	288	20
1	6	418	1	0	293	18
1	6	417	1	0	298	17
