%Data filename = 
%Multiplication factor for 99.99% Chi2 CL = 4.64272
%Multiplication factor for  99.9% Chi2 CL = 3.74296
%Multiplication factor for   99% Chi2 CL = 2.80198
%Multiplication factor for   95% Chi2 CL = 2.09860
%Multiplication factor for   90% Chi2 CL = 1.77411
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.8966065     9926.1202543     5205.4502362     9235.0245532    10924.1467986    14585.5794511    19483.7785554    24167.4663444
      0.9022812    11382.9726719     5117.8432909     9079.6004776    10740.2950494    14340.1063405    19155.8694899    23760.7315171
      0.9079560    10690.0002808     5033.0552356     8929.1774140    10562.3590169    14102.5317100    18838.5114099    23367.0840171
      0.9136307     4883.9893420     4951.0112909     8783.6226954    10390.1817690    13872.6460287    18531.4244187    22986.1766637
      0.9193054     3255.1281849     4871.6402018     8642.8099083    10223.6137702    13650.2496416    18234.3418124    22617.6786402
      0.9249801     3507.0290681     4794.8738017     8506.6181175    10062.5119662    13435.1515470    17947.0084461    22261.2734675
      0.9306549     3963.5313226     4720.6465668     8374.9310767     9906.7388487    13227.1681481    17669.1790666    21916.6569364
      0.9363296     4365.3670046     4648.8951625     8247.6364239     9756.1615042    13026.1219828    17400.6166159    21583.5350027
      0.9420043     2663.1308813     4579.5579832     8124.6248641     9610.6506473    12831.8404335    17141.0905068    21261.6216485
      0.9476790     3668.9112292     4512.5746855     8005.7893416     9470.0796411    12644.1544186    16890.3748760    20950.6367154
      0.9533538     4299.1382404     4447.8857159     7891.0242021     9334.3235071    12462.8970706    16648.2468177    20650.3037137
      0.9590285     6289.7436711     4385.4318362     7780.2243507     9203.2579279    12287.9024047    16414.4846055    20360.3476161
      0.9647032     6060.3153996     4325.1536468     7673.2844063     9076.7582478    12119.0039846    16188.8659097    20080.4926474
      0.9703779     3037.5350734     4266.9911126     7570.0978599     8954.6984770    11956.0335929    15971.1660209    19810.4600805
      0.9760527     1107.8834736     4210.8830932     7470.5562423     8836.9503068    11798.8199153    15761.1560937    19549.9660581
      0.9817274     8940.0940595     4156.7668833     7374.5483075     8723.3821438    11647.1872528    15558.6014246    19298.7194565
      0.9874021     9735.7116497     4104.5777667     7281.9592419     8613.8581746    11500.9542715    15363.2597837    19056.4198164
      0.9930768     8443.1060885     4054.2485905     7192.6699092     8508.2374724    11359.9328104    15174.8798204    18822.7553652
      0.9987516     4474.6134582     4005.7093651     7106.5561404     8406.3731572    11223.9267598    14993.1995669    18597.4011610
      1.0044263     6960.4085162     3958.8868975     7023.4880832     8308.1116263    11092.7310341    14817.9450647    18380.0173885
      1.0101010     7954.1919373     3913.7044646     6943.3296227     8213.2918686    10966.1306566    14648.8291424    18170.2478436
      1.0157757     8471.1601163     3870.0815349     6865.9378874     8121.7448811    10843.8999795    14485.5503743    17967.7186411
      1.0214505     2932.3665667     3827.9335468     6791.1628560     8033.2932029    10725.8020627    14327.7922498    17772.0371847
      1.0271252     2244.0295302     3787.1717515     6718.8470786     7947.7505859    10611.5882335    14175.2225858    17582.7914381
      1.0327999     1744.6382975     3747.7031293     6648.8255284     7864.9218193    10500.9978525    14027.4932137    17399.5495368
      1.0384746      522.5995290     3709.4303877     6580.9255980     7784.6027251    10393.7583077    13884.2399717    17221.8597783
      1.0441494      143.6128120     3672.2520485     6514.9672545     7706.5803416    10289.5852592    13745.0830315    17049.2510279
      1.0498241     2382.3044176     3636.0626324     6450.7633660     7630.6333099    10188.1831556    13609.6275881    16881.2335738
      1.0554988     5659.0924813     3600.7529456     6388.1202113     7556.5324763    10089.2460381    13477.4649342    16717.3004598
      1.0611735     5753.2982554     3566.2104755     6326.8381809     7484.0417220     9992.4586482    13348.1739397    16556.9293209
      1.0668483     4433.3424591     3532.3198972     6266.7126762     7412.9190264     9897.4978474    13221.3229483    16399.5847352
      1.0725230     2643.4520401     3498.9636931     6207.5352083     7342.9177673     9804.0343536    13096.4720967    16244.7211010
      1.0781977     3872.2548067     3466.0228846     6149.0946968     7273.7882568     9711.7347914    12973.1760536    16091.7860344
      1.0838724     2377.1849216     3433.3778730     6091.1789603     7205.2795047     9620.2640463    12850.9871652    15940.2242703
      1.0895472     1128.5042960     3400.9093809     6033.5763884     7137.1411963     9529.2879061    12729.4589820    15789.4820378
      1.0952219     2720.0788085     3368.4994879     5976.0777775     7069.1258637     9438.4759594    12608.1501328    15639.0118648
      1.1008966     8004.4804534     3336.0327442     5918.4783074     7000.9912244     9347.5047180    12486.6284937    15488.2777494
      1.1065713     8236.7912163     3303.3973475     5860.5796288     6932.5026502     9256.0609139    12364.4755936    15336.7606249
      1.1122461     6149.2663258     3270.4863628     5802.1920278     6863.4357278     9163.8449173    12241.2911796    15183.9640218
      1.1179208     1291.4151469     3237.1989623     5743.1366250     6793.5788600     9070.5742101    12116.6978571    15029.4198240
      1.1235955     2834.2224813     3203.4416591     5683.2475645     6722.7358552     8975.9868439    11990.3457088    14872.6939977
      1.1292702     5890.9996296     3169.1295077     5622.3741439     6650.7284471     8879.8448026    11861.9167870    14713.3921644
      1.1349450     7877.1346036     3134.1872413     5560.3828322     6577.3986811     8781.9371904    11731.1293719    14551.1648817
