%Data filename = 
%Multiplication factor for 99.99% Chi2 CL = 4.64272
%Multiplication factor for  99.9% Chi2 CL = 3.74296
%Multiplication factor for   99% Chi2 CL = 2.80198
%Multiplication factor for   95% Chi2 CL = 2.09860
%Multiplication factor for   90% Chi2 CL = 1.77411
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      1.3505845     3964.0775250     1610.0483519     2856.3976962     3378.8440484     4511.3269923     6026.3424160     7475.0093830
      1.3562592     4090.1305899     1581.9640826     2806.5732036     3319.9064605     4432.6353666     5921.2241920     7344.6218848
      1.3619339     4526.6820032     1555.0351101     2758.7983308     3263.3933760     4357.1808621     5820.4301946     7219.5981101
      1.3676087      766.2485016     1529.2565356     2713.0643871     3209.2945144     4284.9497526     5723.9420881     7099.9153156
      1.3732834      891.5127831     1504.6211697     2669.3586174     3157.5947878     4215.9218931     5631.7329626     6985.5401223
      1.3789581      613.0627907     1481.1198693     2627.6648010     3108.2750087     4150.0716652     5543.7685959     6876.4300816
      1.3846328      959.6171544     1458.7418432     2587.9637933     3061.3125309     4087.3688323     5460.0085975     6772.5350934
      1.3903076     2031.6679730     1437.4749266     2550.2340122     3016.6818247     4027.7793080     5380.4074340     6673.7986787
      1.3959823     1991.2018247     1417.3058253     2514.4518729     2974.3549916     3971.2658431     5304.9153467     6580.1591174
      1.4016570     1557.7790944     1398.2203351     2480.5921754     2934.3022226     3917.7886374     5233.4791699     6491.5504630
      1.4073317      905.2053575     1380.2035372     2448.6284521     2896.4922088     3867.3058885     5166.0430626     6407.9034513
      1.4130065     1053.2047213     1363.2399743     2418.5332803     2860.8925118     3819.7742855     5102.5491692     6329.1463186
      1.4186812      804.7314783     1347.3138118     2390.2785673     2827.4699009     3775.1494598     5042.9382209     6255.2055487
      1.4243559      725.5343519     1332.4089863     2363.8358153     2796.1906658     3733.3864025     4987.1500938     6186.0065646
      1.4300306     1668.1391336     1318.5093469     2339.1763708     2767.0209121     3694.4398588     4935.1243354     6121.4743815
      1.4357054     2180.0617721     1305.5987899     2316.2716642     2739.9268448     3658.2647067     4886.8006706     6061.5342349
      1.4413801      700.1537648     1293.6613915     2295.0934447     2714.8750458     3624.8163275     4842.1194966     6006.1121941
      1.4470548     1864.0446021     1282.6815382     2275.6140126     2691.8327490     3594.0509729     4801.0223733     5955.1357708
      1.4527295     1914.9887426     1272.6440582     2257.8064512     2670.7681148     3565.9261316     4763.4525131     5908.5345261
      1.4584043     1760.2062969     1263.5343521     2241.6448599     2651.6505050     3540.4008963     4729.3552712     5866.2406793
      1.4640790      380.2351176     1255.3385241     2227.1045859     2634.4507577     3517.4363312     4698.6786360     5828.1897156
      1.4697537      378.7131076     1248.0435118     2214.1624551     2619.1414605     3496.9958359     4671.3737157     5794.3209904
      1.4754284      537.3931929     1241.6372141     2202.7969990     2605.6972178     3479.0455032     4647.3952163     5764.5783213
      1.4811032     1456.7343005     1236.1086142     2192.9886724     2594.0949098     3463.5544641     4626.7019023     5738.9105604
      1.4867779     1851.9502080     1231.4478964     2184.7200614     2584.3139374     3450.4952153     4609.2570341     5717.2721363
      1.4924526     1946.3336159     1227.6465540     2177.9760740     2576.3364482     3439.8439211     4595.0287712     5699.6235542
      1.4981273     1034.3189549     1224.6974853     2172.7441113     2570.1475390     3431.5806829     4583.9905328     5685.9318438
      1.5038021     1494.5414310     1222.5950768     2169.0142141     2565.7354289     3425.6897714     4576.1213073     5676.1709422
      1.5094768     1890.5221635     1221.3352693     2166.7791811     2563.0915996     3422.1598131     4571.4059015     5670.3220044
      1.5151515     1230.4195830     1220.9156075     2166.0346561     2562.2108981     3420.9839280     4569.8351250     5668.3736303
