%Data filename =  
%     Frequency   Period/Wavelength       Rel. Power   SWA_background
      1.3959823        0.7163415     1991.2018247     1417.3058253
      1.4016570        0.7134413     1557.7790944     1398.2203351
      1.4073317        0.7105645      905.2053575     1380.2035372
      1.4130065        0.7077108     1053.2047213     1363.2399743
      1.4186812        0.7048800      804.7314783     1347.3138118
      1.4243559        0.7020717      725.5343519     1332.4089863
      1.4300306        0.6992857     1668.1391336     1318.5093469
      1.4357054        0.6965217     2180.0617721     1305.5987899
      1.4413801        0.6937795      700.1537648     1293.6613915
      1.4470548        0.6910588     1864.0446021     1282.6815382
      1.4527295        0.6883594     1914.9887426     1272.6440582
      1.4584043        0.6856809     1760.2062969     1263.5343521
      1.4640790        0.6830233      380.2351176     1255.3385241
      1.4697537        0.6803861      378.7131076     1248.0435118
      1.4754284        0.6777692      537.3931929     1241.6372141
      1.4811032        0.6751724     1456.7343005     1236.1086142
      1.4867779        0.6725954     1851.9502080     1231.4478964
      1.4924526        0.6700380     1946.3336159     1227.6465540
      1.4981273        0.6675000     1034.3189549     1224.6974853
      1.5038021        0.6649811     1494.5414310     1222.5950768
      1.5094768        0.6624812     1890.5221635     1221.3352693
      1.5151515        0.6600000     1230.4195830     1220.9156075
